Original Sentence,Visual Description,Description
Contar_una_fantasía,"A person sitting by a cozy fireplace, deeply engrossed in narrating an elaborate fantasy story to an attentive audience. The room is dimly lit, with the warm glow of the fire casting shadows that dance across the walls, enhancing the mystical atmosphere of the tale. The storyteller's expressions are animated, capturing the imagination and wonder of the listeners, who are seated around in a semi-circle, hanging onto every word.",
algo sucio al oido,"Two people standing close together in a bustling party, one whispering into the other's ear. The recipient's face lights up with a mix of surprise and amusement. The background is filled with the blur of party-goers, but the focus is on the intense and secretive exchange between the two central characters, highlighting a moment of personal connection amidst the chaos.",
Ronda_de_nalgadas,"A playful scene in a bright and airy room where a group of friends are engaging in a light-hearted spanking game. They are taking turns, with laughter and teasing filling the air. The setting is casual and fun, with everyone dressed in comfortable clothing. The room is decorated in a way that suggests a gathering for a special occasion, adding to the festive mood.",
Bailar_pegadito,"A couple dancing closely in a dimly lit room, lost in the rhythm of a slow, romantic song. The only light comes from a few candles, casting a soft glow that creates an intimate atmosphere. The couple's expressions are serene and content, emphasizing the deep connection they share in this moment of closeness. The setting is private and personal, suggesting a moment shared away from the eyes of the world.",
Besar en un lugar nuevo,"A tender scene where one person gently kisses the other's forehead in a quiet, sunlit garden. The garden is blooming with flowers, and the moment is serene and peaceful. This affectionate gesture is captured in a way that emphasizes care and love, focusing on the emotional bond between the two individuals rather than the physical act of kissing.",
Masaje_a_otra_persona_donde_quiera,"An image depicting a person giving a relaxing back massage to a friend in a serene setting. The room is softly lit, with essential oils diffusing in the background, adding to the tranquil atmosphere. The person receiving the massage is visibly relaxed, with a look of contentment. The scene captures the essence of friendship and care, highlighting the therapeutic nature of the gesture.",
nalgueadas_y_cosquillas (30s),"A fun and energetic scene in a living room where two people are playfully engaging in a tickle fight, with occasional light spankings. Laughter fills the air, and the room is messy with cushions and throws, suggesting a spontaneous moment of joy. The scene is lively, capturing the playful, carefree nature of their interaction.",
Mirarse_fijo (30s),"An intimate moment between two people, sitting opposite each other with a small table between them in a cozy café. They are looking into each other's eyes, completely absorbed in the moment. The café is softly lit, creating a warm and inviting atmosphere. The focus is on their faces, capturing the intensity and depth of the connection they are experiencing.",
"Object,_pet_o_age_play_(30s)","A playful scene with an individual engaging in a creative role-play, surrounded by stuffed animals and imaginative props in a brightly lit room. The setting is cheerful and colorful, emphasizing a sense of fun and escapism.",
Beso_en_ronda,"A group of friends sitting in a circle in a cozy room, taking turns to give a quick, friendly peck on the cheek to the person next to them. The atmosphere is light-hearted and playful, with smiles and laughter all around.",
Frotate_con_alguien,"Two friends engaging in a fun dance-off at a home party, with one mimicking the other's moves in a friendly and competitive manner. The room is filled with energetic music and the vibrant lighting adds to the lively atmosphere.",
intercambiar_una_prenda,"A humorous and lighthearted moment where two friends are trying on each other's hat and scarf, laughing at the mismatched outfits they've created. The background is a casual outdoor setting, emphasizing the spontaneity of the moment.",
Mostrá_TODO_tu_outfit,"An individual standing in front of a mirror, confidently presenting and describing their chosen outfit of the day, from the outer layers down to the details of their stylish underwear. The scene is set in a bright, well-organized room, highlighting the person's sense of style and personality.",
Elegí a quién le hacés un lapdance,"A person playfully choosing a friend from a small, cheering group for a mock lap dance performance at a private party. The setting is intimate and filled with laughter, with everyone dressed in casual party attire.",
Acercamiento de labios (60s),"A close-up of two people facing each other, their lips almost touching, in a quiet room with soft lighting. The tension and connection between them are palpable, showcasing intimacy.",
Describir_el_olor_de_otra_persona,"An individual closing their eyes and inhaling deeply, capturing the scent of a close friend standing nearby in a natural setting. The background is a lush garden, emphasizing the personal and sensory experience.",
Dale_de_tomar_a_alguien,"A caring moment where one person gently pours water into another's mouth from a glass, ensuring they stay hydrated. The setting is outdoors, during a break in a friendly sports match, underlining the importance of care and teamwork.",
